	Cell_type	Gene	source
1416	T_CD8	ZFP36L2	Bindea_2013
1417	T_CD8	ZNF22	Bindea_2013
1418	T_CD8	ZNF609	Bindea_2013
1419	T_CD8	ZNF91	Bindea_2013
3038	T_CD8	ADRM1	Charoentong_2017
3039	T_CD8	AHSA1	Charoentong_2017
3040	T_CD8	C1GALT1C1	Charoentong_2017
3041	T_CD8	CCT6B	Charoentong_2017
3042	T_CD8	CD37	Charoentong_2017
3043	T_CD8	CD3D	Charoentong_2017
3044	T_CD8	CD3E	Charoentong_2017
3045	T_CD8	CD3G	Charoentong_2017
3046	T_CD8	CD69	Charoentong_2017
3047	T_CD8	CD8A	Charoentong_2017
3048	T_CD8	CETN3	Charoentong_2017
3049	T_CD8	CSE1L	Charoentong_2017
3050	T_CD8	GEMIN6	Charoentong_2017
3051	T_CD8	GNLY	Charoentong_2017
3052	T_CD8	GPT2	Charoentong_2017
3053	T_CD8	GZMA	Charoentong_2017
3054	T_CD8	GZMH	Charoentong_2017
3055	T_CD8	GZMK	Charoentong_2017
3056	T_CD8	IL2RB	Charoentong_2017
3057	T_CD8	LCK	Charoentong_2017
3058	T_CD8	MPZL1	Charoentong_2017
3059	T_CD8	NKG7	Charoentong_2017
3060	T_CD8	PIK3IP1	Charoentong_2017
3061	T_CD8	PTRH2	Charoentong_2017
3062	T_CD8	TIMM13	Charoentong_2017
3063	T_CD8	ZAP70	Charoentong_2017
3064	T_CD8_central_memory	ACTN4	Charoentong_2017
3065	T_CD8_central_memory	ADAM12	Charoentong_2017
3066	T_CD8_central_memory	ADCY9	Charoentong_2017
3067	T_CD8_central_memory	F13A1	Charoentong_2017
3068	T_CD8_central_memory	FCER1G	Charoentong_2017
3069	T_CD8_central_memory	FCGR3B	Charoentong_2017
3070	T_CD8_central_memory	FGF7	Charoentong_2017
3071	T_CD8_central_memory	FKBP4	Charoentong_2017
3072	T_CD8_central_memory	GLUD1	Charoentong_2017
3073	T_CD8_central_memory	GM2A	Charoentong_2017
3074	T_CD8_central_memory	GUSB	Charoentong_2017
3075	T_CD8_central_memory	IL1RN	Charoentong_2017
3076	T_CD8_central_memory	NOL11	Charoentong_2017
3077	T_CD8_central_memory	NTRK1	Charoentong_2017
3078	T_CD8_central_memory	RARA	Charoentong_2017
3079	T_CD8_central_memory	RNF128	Charoentong_2017
3080	T_CD8_central_memory	SIGLEC1	Charoentong_2017
3081	T_CD8_central_memory	TNFRSF11A	Charoentong_2017
3082	T_CD8_central_memory	TOX4	Charoentong_2017
3083	T_CD8_central_memory	UBA52	Charoentong_2017
3084	T_CD8_central_memory	ULBP1	Charoentong_2017
3085	T_CD8_effector_memory	ACAP1	Charoentong_2017
3086	T_CD8_effector_memory	APOL3	Charoentong_2017
3087	T_CD8_effector_memory	ARHGAP10	Charoentong_2017
3088	T_CD8_effector_memory	ATP10D	Charoentong_2017
3089	T_CD8_effector_memory	C3AR1	Charoentong_2017
3090	T_CD8_effector_memory	CCR5	Charoentong_2017
3091	T_CD8_effector_memory	CD160	Charoentong_2017
3092	T_CD8_effector_memory	CD55	Charoentong_2017
3093	T_CD8_effector_memory	CFLAR	Charoentong_2017
3094	T_CD8_effector_memory	CMKLR1	Charoentong_2017
3095	T_CD8_effector_memory	DAPP1	Charoentong_2017
3096	T_CD8_effector_memory	FCRL6	Charoentong_2017
3097	T_CD8_effector_memory	FLT3LG	Charoentong_2017
3098	T_CD8_effector_memory	GZMM	Charoentong_2017
3099	T_CD8_effector_memory	HAPLN3	Charoentong_2017
3100	T_CD8_effector_memory	HLA-DMB	Charoentong_2017
3101	T_CD8_effector_memory	HLA-DPA1	Charoentong_2017
3102	T_CD8_effector_memory	HLA-DPB1	Charoentong_2017
3103	T_CD8_effector_memory	IFI16	Charoentong_2017
3104	T_CD8_effector_memory	LIME1	Charoentong_2017
3105	T_CD8_effector_memory	LTK	Charoentong_2017
3106	T_CD8_effector_memory	NFKBIA	Charoentong_2017
3107	T_CD8_effector_memory	SETD7	Charoentong_2017
3108	T_CD8_effector_memory	SIK1	Charoentong_2017
3109	T_CD8_effector_memory	TRIB2	Charoentong_2017
561	T_CD4_central_memory	ADAM19	Angelova_2015
562	T_CD4_central_memory	AHNAK	Angelova_2015
563	T_CD4_central_memory	AIM2	Angelova_2015
564	T_CD4_central_memory	COL4A1	Angelova_2015
565	T_CD4_central_memory	CYLD	Angelova_2015
566	T_CD4_central_memory	DPEP2	Angelova_2015
567	T_CD4_central_memory	EPHA4	Angelova_2015
568	T_CD4_central_memory	FYN	Angelova_2015
569	T_CD4_central_memory	IL6R	Angelova_2015
570	T_CD4_central_memory	IPCEF1	Angelova_2015
571	T_CD4_central_memory	KLF10	Angelova_2015
572	T_CD4_central_memory	MAL	Angelova_2015
573	T_CD4_central_memory	MALT1	Angelova_2015
574	T_CD4_central_memory	NXN	Angelova_2015
575	T_CD4_central_memory	OPTN	Angelova_2015
576	T_CD4_central_memory	PLCL2	Angelova_2015
577	T_CD4_central_memory	PNRC1	Angelova_2015
578	T_CD4_central_memory	SMAD4	Angelova_2015
579	T_CD4_central_memory	SPOCK2	Angelova_2015
580	T_CD4_central_memory	TRIB2	Angelova_2015
581	T_CD4_central_memory	TXK	Angelova_2015
582	T_CD8_central_memory	ADAM23	Angelova_2015
583	T_CD8_central_memory	ATP2B4	Angelova_2015
584	T_CD8_central_memory	BCL2L11	Angelova_2015
585	T_CD8_central_memory	CD300A	Angelova_2015
586	T_CD8_central_memory	CD80	Angelova_2015
587	T_CD8_central_memory	CHN1	Angelova_2015
588	T_CD8_central_memory	F2R	Angelova_2015
589	T_CD8_central_memory	F8	Angelova_2015
590	T_CD8_central_memory	GABARAPL1	Angelova_2015
591	T_CD8_central_memory	GPR183	Angelova_2015
592	T_CD8_central_memory	KLRK1	Angelova_2015
593	T_CD8_central_memory	MSC	Angelova_2015
594	T_CD8_central_memory	PYHIN1	Angelova_2015
595	T_CD8_central_memory	RCAN2	Angelova_2015
596	T_CD8_central_memory	RGS1	Angelova_2015
597	T_CD8_central_memory	SLAMF1	Angelova_2015
598	T_CD8_central_memory	SLFN11	Angelova_2015
599	T_CD8_central_memory	ZEB2	Angelova_2015
2839	T_CD8	CD8A	Becht_2016
2840	T_CD8	EOMES	Becht_2016
2841	T_CD8	FGFBP2	Becht_2016
2842	T_CD8	GNLY	Becht_2016
2843	T_CD8	KLRC3	Becht_2016
2844	T_CD8	KLRC4	Becht_2016
2845	T_CD8	KLRD1	Becht_2016
600	T_CD8	BST2	Angelova_2015
601	T_CD8	BTN3A2	Angelova_2015
602	T_CD8	IL10RA	Angelova_2015
603	T_CD8	KLRB1	Angelova_2015
604	T_CD8	LAT2	Angelova_2015
605	T_CD8	LILRA2	Angelova_2015
606	T_CD8	SELL	Angelova_2015
607	T_CD8	SLAMF6	Angelova_2015
608	T_CD8	SLAMF7	Angelova_2015
609	DC	C1QC	Angelova_2015
610	DC	CCDC88A	Angelova_2015
611	DC	CCL13	Angelova_2015
612	DC	CCL3L1	Angelova_2015
613	DC	CCL3L3	Angelova_2015
614	DC	CD300E	Angelova_2015
615	DC	CD86	Angelova_2015
616	DC	CLEC1A	Angelova_2015
617	DC	CLEC4C	Angelova_2015
618	DC	CLEC5A	Angelova_2015
619	DC	CLIC2	Angelova_2015
620	DC	CSF2RA	Angelova_2015
621	DC	FAM49A	Angelova_2015
622	DC	FCGR1A	Angelova_2015
623	DC	FN1	Angelova_2015
624	DC	FSTL1	Angelova_2015
625	DC	GPR109B	Angelova_2015
626	DC	GPX3	Angelova_2015
627	DC	HLA-DQA2	Angelova_2015
628	DC	INHBA	Angelova_2015
629	DC	LGMN	Angelova_2015
630	DC	NGFR	Angelova_2015
631	DC	PDGFRL	Angelova_2015
632	DC	PDPN	Angelova_2015
633	DC	PRKAR2B	Angelova_2015
634	DC	SIGLEC1	Angelova_2015
635	DC	SIGLEC5	Angelova_2015
636	DC	SLAMF9	Angelova_2015
637	DC	STAB1	Angelova_2015
638	DC	THBD	Angelova_2015
639	DC	TNFAIP2	Angelova_2015
640	DC	TTYH2	Angelova_2015
641	DC	UBD	Angelova_2015
642	DC	VCAM1	Angelova_2015
1420	DC	CCL13	Bindea_2013
1421	DC	CCL17	Bindea_2013
1422	DC	CCL22	Bindea_2013
1423	DC	CD209	Bindea_2013
1424	DC	HSD11B1	Bindea_2013
1425	DC	NPR1	Bindea_2013
1426	DC	PPFIBP2	Bindea_2013
1	DC	a1/3GTP	Abbas_2005
4	DC	ABTB2	Abbas_2005
5	DC	ADAM12	Abbas_2005
10	DC	ALOX15	Abbas_2005
41	DC	CBR3	Abbas_2005
43	DC	CCL13	Abbas_2005
44	DC	CCL17	Abbas_2005
54	DC	CD1A	Abbas_2005
55	DC	CD1B	Abbas_2005
57	DC	CD1E	Abbas_2005
58	DC	CD1E	Abbas_2005
74	DC	CD86	Abbas_2005
87	DC	CG018	Abbas_2005
89	DC	CHST7	Abbas_2005
92	DC	CLECSF13	Abbas_2005
94	DC	CLIC2	Abbas_2005
96	DC	CNOT10	Abbas_2005
102	DC	CRLF2	Abbas_2005
117	DC	CXCL11	Abbas_2005
125	DC	DCNP1	Abbas_2005
126	DC	DCNP1	Abbas_2005
148	DC	EHD4	Abbas_2005
154	DC	EST	Abbas_2005
155	DC	EST	Abbas_2005
158	DC	EST	Abbas_2005
161	DC	EST	Abbas_2005
179	DC	FLJ13089	Abbas_2005
180	DC	FLJ13089	Abbas_2005
187	DC	FLJ23230	Abbas_2005
190	DC	FLJ35936	Abbas_2005
191	DC	FLJ40614	Abbas_2005
193	DC	FLN29	Abbas_2005
194	DC	FLN29	Abbas_2005
195	DC	FLN29	Abbas_2005
196	DC	FNBP2	Abbas_2005
202	DC	FSCN1	Abbas_2005
203	DC	FSCN1	Abbas_2005
205	DC	G1P3	Abbas_2005
214	DC	GRSF1	Abbas_2005
215	DC	GRSF1	Abbas_2005
218	DC	H6PD	Abbas_2005
221	DC	HLA-DQ-alpha	Abbas_2005
222	DC	HLA-DRB3	Abbas_2005
223	DC	HLA-DRB4	Abbas_2005
224	DC	HMG20B	Abbas_2005
226	DC	HMOX1	Abbas_2005
227	DC	HOZFP	Abbas_2005
234	DC	IFIT1	Abbas_2005
268	DC	KIAA1404	Abbas_2005
286	DC	Lectin	Abbas_2005
292	DC	LOC253782	Abbas_2005
293	DC	LOC284018	Abbas_2005
296	DC	LOC93082	Abbas_2005
303	DC	MDA5	Abbas_2005
304	DC	MDS010	Abbas_2005
305	DC	MDS010	Abbas_2005
312	DC	MGC20700	Abbas_2005
318	DC	MMP12	Abbas_2005
323	DC	MOB4A	Abbas_2005
333	DC	MX1	Abbas_2005
334	DC	NAGPA	Abbas_2005
342	DC	NR4A3	Abbas_2005
343	DC	NR4A3	Abbas_2005
347	DC	NT5C3	Abbas_2005
348	DC	NUP62	Abbas_2005
349	DC	NYREN18	Abbas_2005
350	DC	NYREN18	Abbas_2005
351	DC	OAS1	Abbas_2005
352	DC	OATPRP4	Abbas_2005
360	DC	PDL2	Abbas_2005
368	DC	PLDN	Abbas_2005
381	DC	PVRL2	Abbas_2005
383	DC	RAB30	Abbas_2005
384	DC	RAB9A	Abbas_2005
387	DC	RASSF4	Abbas_2005
388	DC	RhoGAP2	Abbas_2005
403	DC	SLC27A3	Abbas_2005
408	DC	SN	Abbas_2005
409	DC	SN	Abbas_2005
415	DC	SPRED2	Abbas_2005
421	DC	TBC1D13	Abbas_2005
422	DC	TBC1D13	Abbas_2005
452	DC	TTYH2	Abbas_2005
453	DC	TTYH2	Abbas_2005
455	DC	UBD	Abbas_2005
467	DC	USP18	Abbas_2005
1806	DC_activated	ARHGAP22	Newman_2015
1807	DC_activated	BIRC3	Newman_2015
1808	DC_activated	CCL1	Newman_2015
1809	DC_activated	CCL13	Newman_2015
1810	DC_activated	CCL17	Newman_2015
1811	DC_activated	CCL18	Newman_2015
1812	DC_activated	CCL19	Newman_2015
1813	DC_activated	CCL20	Newman_2015
1814	DC_activated	CCL22	Newman_2015
1815	DC_activated	CCL5	Newman_2015
1816	DC_activated	CCL8	Newman_2015
1817	DC_activated	CCR7	Newman_2015
1818	DC_activated	CD1B	Newman_2015
1819	DC_activated	CD1E	Newman_2015
1820	DC_activated	CD80	Newman_2015
1821	DC_activated	CD86	Newman_2015
1822	DC_activated	CHST7	Newman_2015
1823	DC_activated	CLIC2	Newman_2015
1824	DC_activated	CXCL10	Newman_2015
1825	DC_activated	CXCL11	Newman_2015
1826	DC_activated	CYP27A1	Newman_2015
1827	DC_activated	DHX58	Newman_2015
1828	DC_activated	EBI3	Newman_2015
1829	DC_activated	ETV3	Newman_2015
1830	DC_activated	FPR3	Newman_2015
1831	DC_activated	HESX1	Newman_2015
1832	DC_activated	HTR2B	Newman_2015
1833	DC_activated	IDO1	Newman_2015
1834	DC_activated	IFI44L	Newman_2015
1835	DC_activated	IL12B	Newman_2015
1836	DC_activated	IL2RA	Newman_2015
1837	DC_activated	KYNU	Newman_2015
1838	DC_activated	LAMP3	Newman_2015
1839	DC_activated	MAP3K13	Newman_2015
1840	DC_activated	MMP12	Newman_2015
1841	DC_activated	MSC	Newman_2015
1842	DC_activated	NR4A3	Newman_2015
1843	DC_activated	PDCD1LG2	Newman_2015
1844	DC_activated	PLA1A	Newman_2015
1845	DC_activated	PLA2G7	Newman_2015
1846	DC_activated	PTGIR	Newman_2015
1847	DC_activated	RASSF4	Newman_2015
1848	DC_activated	RSAD2	Newman_2015
1849	DC_activated	SIGLEC1	Newman_2015
1850	DC_activated	SLC15A3	Newman_2015
1851	DC_activated	SLC2A6	Newman_2015
1852	DC_activated	SLCO5A1	Newman_2015
1853	DC_activated	ST3GAL6	Newman_2015
1854	DC_activated	TMEM255A	Newman_2015
1855	DC_activated	TNFAIP6	Newman_2015
1856	DC_activated	TNFRSF11A	Newman_2015
1857	DC_activated	TNFRSF4	Newman_2015
1858	DC_activated	TREM2	Newman_2015
1859	DC_resting	ACP5	Newman_2015
1860	DC_resting	AIF1	Newman_2015
1861	DC_resting	ALOX15	Newman_2015
1862	DC_resting	C1orf54	Newman_2015
1863	DC_resting	CCDC102B	Newman_2015
1864	DC_resting	CCL13	Newman_2015
1865	DC_resting	CCL17	Newman_2015
1866	DC_resting	CCL18	Newman_2015
1867	DC_resting	CCL22	Newman_2015
1868	DC_resting	CD1A	Newman_2015
1869	DC_resting	CD1B	Newman_2015
1870	DC_resting	CD1C	Newman_2015
1871	DC_resting	CD1E	Newman_2015
1872	DC_resting	CD209	Newman_2015
1873	DC_resting	CD33	Newman_2015
1874	DC_resting	CD68	Newman_2015
1875	DC_resting	CLEC10A	Newman_2015
1876	DC_resting	CLEC4A	Newman_2015
1877	DC_resting	CLEC7A	Newman_2015
1878	DC_resting	CLIC2	Newman_2015
1879	DC_resting	DHRS11	Newman_2015
1880	DC_resting	EGR2	Newman_2015
1881	DC_resting	FAM198B	Newman_2015
1882	DC_resting	FCER1A	Newman_2015
1883	DC_resting	FCER2	Newman_2015
1884	DC_resting	FLVCR2	Newman_2015
1885	DC_resting	FPR3	Newman_2015
1886	DC_resting	FZD2	Newman_2015
1887	DC_resting	HLA-DQA1	Newman_2015
1888	DC_resting	IGSF6	Newman_2015
1889	DC_resting	MMP12	Newman_2015
1890	DC_resting	NCF2	Newman_2015
1891	DC_resting	PLA2G7	Newman_2015
1892	DC_resting	PPFIBP1	Newman_2015
1893	DC_resting	RNASE6	Newman_2015
1894	DC_resting	SCN9A	Newman_2015
1895	DC_resting	SLAMF8	Newman_2015
1896	DC_resting	SLC15A3	Newman_2015
1897	DC_resting	TMEM255A	Newman_2015
1898	DC_resting	TREM2	Newman_2015
643	T_CD4_effector_memory	BMI1	Angelova_2015
644	T_CD4_effector_memory	CASP3	Angelova_2015
645	T_CD4_effector_memory	CNOT10	Angelova_2015
646	T_CD4_effector_memory	COPB2	Angelova_2015
647	T_CD4_effector_memory	DARS	Angelova_2015
648	T_CD4_effector_memory	EXOSC9	Angelova_2015
649	T_CD4_effector_memory	EZH2	Angelova_2015
650	T_CD4_effector_memory	GDE1	Angelova_2015
651	T_CD4_effector_memory	IFT74	Angelova_2015
652	T_CD4_effector_memory	KLF5	Angelova_2015
653	T_CD4_effector_memory	NDUFB9	Angelova_2015
654	T_CD4_effector_memory	NUP205	Angelova_2015
655	T_CD4_effector_memory	SHCBP1	Angelova_2015
656	T_CD4_effector_memory	XRCC6	Angelova_2015
657	T_CD8_effector_memory	APOBEC3H	Angelova_2015
658	T_CD8_effector_memory	ARHGAP10	Angelova_2015
659	T_CD8_effector_memory	ATP10D	Angelova_2015
660	T_CD8_effector_memory	BIRC3	Angelova_2015
661	T_CD8_effector_memory	C3AR1	Angelova_2015
662	T_CD8_effector_memory	CCL4	Angelova_2015
663	T_CD8_effector_memory	CD244	Angelova_2015
664	T_CD8_effector_memory	CD55	Angelova_2015
665	T_CD8_effector_memory	CFLAR	Angelova_2015
666	T_CD8_effector_memory	CMKLR1	Angelova_2015
667	T_CD8_effector_memory	DAPP1	Angelova_2015
668	T_CD8_effector_memory	DFNB31	Angelova_2015
669	T_CD8_effector_memory	DRAM1	Angelova_2015
670	T_CD8_effector_memory	EFNA5	Angelova_2015
671	T_CD8_effector_memory	FCGR2C	Angelova_2015
672	T_CD8_effector_memory	FCGR3A	Angelova_2015
673	T_CD8_effector_memory	FCRL6	Angelova_2015
674	T_CD8_effector_memory	FGR	Angelova_2015
675	T_CD8_effector_memory	GPR114	Angelova_2015
676	T_CD8_effector_memory	GZMH	Angelova_2015
677	T_CD8_effector_memory	HAPLN3	Angelova_2015
678	T_CD8_effector_memory	HLA-DMB	Angelova_2015
679	T_CD8_effector_memory	HLA-DPA1	Angelova_2015
680	T_CD8_effector_memory	HLA-DPB1	Angelova_2015
681	T_CD8_effector_memory	IFI16	Angelova_2015
682	T_CD8_effector_memory	IKZF2	Angelova_2015
683	T_CD8_effector_memory	IL15	Angelova_2015
684	T_CD8_effector_memory	IL2RB	Angelova_2015
685	T_CD8_effector_memory	JAKMIP1	Angelova_2015
686	T_CD8_effector_memory	KLRD1	Angelova_2015
687	T_CD8_effector_memory	LY96	Angelova_2015
688	T_CD8_effector_memory	NFKBIA	Angelova_2015
689	T_CD8_effector_memory	PLXNC1	Angelova_2015
690	T_CD8_effector_memory	PPP4R1	Angelova_2015
691	T_CD8_effector_memory	PTPN22	Angelova_2015
692	T_CD8_effector_memory	RGS18	Angelova_2015
693	T_CD8_effector_memory	SETD7	Angelova_2015
694	T_CD8_effector_memory	SH2D1B	Angelova_2015
695	T_CD8_effector_memory	SLA2	Angelova_2015
696	T_CD8_effector_memory	STXBP1	Angelova_2015
697	T_CD8_effector_memory	TLR5	Angelova_2015
698	T_CD8_effector_memory	TYROBP	Angelova_2015
2892	Endothelial	ACVRL1	Becht_2016
2893	Endothelial	APLN	Becht_2016
2894	Endothelial	BCL6B	Becht_2016
2895	Endothelial	BMP6	Becht_2016
2896	Endothelial	BMX	Becht_2016
2897	Endothelial	CDH5	Becht_2016
2898	Endothelial	CLEC14A	Becht_2016
2899	Endothelial	DIPK2B	Becht_2016
2900	Endothelial	EDN1	Becht_2016
2901	Endothelial	ADGRL4	Becht_2016
2902	Endothelial	EMCN	Becht_2016
2903	Endothelial	ESAM	Becht_2016
2904	Endothelial	ESM1	Becht_2016
2905	Endothelial	FAM124B	Becht_2016
2906	Endothelial	HECW2	Becht_2016
2907	Endothelial	HHIP	Becht_2016
2908	Endothelial	KDR	Becht_2016
2909	Endothelial	MMRN1	Becht_2016
2910	Endothelial	MMRN2	Becht_2016
2911	Endothelial	MYCT1	Becht_2016
2912	Endothelial	PALMD	Becht_2016
2913	Endothelial	PEAR1	Becht_2016
2914	Endothelial	PGF	Becht_2016
2915	Endothelial	PLXNA2	Becht_2016
2916	Endothelial	PTPRB	Becht_2016
2917	Endothelial	ROBO4	Becht_2016
2918	Endothelial	C	Becht_2016
2919	Endothelial	SHANK3	Becht_2016
2920	Endothelial	SHE	Becht_2016
2921	Endothelial	TEK	Becht_2016
2922	Endothelial	TIE1	Becht_2016
2923	Endothelial	VEPH1	Becht_2016
2924	Endothelial	VWF	Becht_2016
699	Eosinophil	CCL24	Angelova_2015
700	Eosinophil	CFD	Angelova_2015
701	Eosinophil	CREB3	Angelova_2015
702	Eosinophil	EGR1	Angelova_2015
703	Eosinophil	EPX	Angelova_2015
704	Eosinophil	FBXO16	Angelova_2015
705	Eosinophil	HFE	Angelova_2015
706	Eosinophil	HIVEP1	Angelova_2015
707	Eosinophil	HIVEP2	Angelova_2015
708	Eosinophil	MBP	Angelova_2015
709	Eosinophil	PRNP	Angelova_2015
710	Eosinophil	RNASE2	Angelova_2015
711	Eosinophil	RNASE3	Angelova_2015
712	Eosinophil	S100A4	Angelova_2015
713	Eosinophil	SIGLEC8	Angelova_2015
1427	Eosinophil	ABHD2	Bindea_2013
1428	Eosinophil	ACACB	Bindea_2013
1429	Eosinophil	C9orf156	Bindea_2013
1430	Eosinophil	CAT	Bindea_2013
1431	Eosinophil	CCR3	Bindea_2013
1432	Eosinophil	CLC	Bindea_2013
1433	Eosinophil	CYSLTR2	Bindea_2013
1434	Eosinophil	EMR1	Bindea_2013
1435	Eosinophil	EPN2	Bindea_2013
1436	Eosinophil	GALC	Bindea_2013
1437	Eosinophil	GPR44	Bindea_2013
1438	Eosinophil	HES1	Bindea_2013
1439	Eosinophil	HIST1H1C	Bindea_2013
1440	Eosinophil	HRH4	Bindea_2013
1441	Eosinophil	IGSF2	Bindea_2013
1442	Eosinophil	IL5RA	Bindea_2013
1443	Eosinophil	KBTBD11	Bindea_2013
1444	Eosinophil	KCNH2	Bindea_2013
1445	Eosinophil	LRP5L	Bindea_2013
1446	Eosinophil	MYO15B	Bindea_2013
1447	Eosinophil	RCOR3	Bindea_2013
1448	Eosinophil	RNASE2	Bindea_2013
1449	Eosinophil	RRP12	Bindea_2013
1450	Eosinophil	SIAH1	Bindea_2013
1451	Eosinophil	SMPD3	Bindea_2013
1452	Eosinophil	SYNJ1	Bindea_2013
1453	Eosinophil	TGIF1	Bindea_2013
1454	Eosinophil	THBS1	Bindea_2013
1455	Eosinophil	THBS4	Bindea_2013
1456	Eosinophil	TIPARP	Bindea_2013
1457	Eosinophil	TKTL1	Bindea_2013
1899	Eosinophil	ADGRE1	Newman_2015
1900	Eosinophil	ADGRE2	Newman_2015
1901	Eosinophil	ADGRE3	Newman_2015
1902	Eosinophil	ADGRG3	Newman_2015
1903	Eosinophil	ALOX15	Newman_2015
1904	Eosinophil	BANK1	Newman_2015
1905	Eosinophil	BCL2A1	Newman_2015
1906	Eosinophil	BPI	Newman_2015
1907	Eosinophil	C3AR1	Newman_2015
1908	Eosinophil	C5AR2	Newman_2015
1909	Eosinophil	CD244	Newman_2015
1910	Eosinophil	CLC	Newman_2015
1911	Eosinophil	DACH1	Newman_2015
1912	Eosinophil	DAPK2	Newman_2015
1913	Eosinophil	DEPDC5	Newman_2015
1914	Eosinophil	DPEP2	Newman_2015
1915	Eosinophil	EPN2	Newman_2015
1916	Eosinophil	FFAR2	Newman_2015
1917	Eosinophil	GIPR	Newman_2015
1918	Eosinophil	GPR183	Newman_2015
1919	Eosinophil	GPR65	Newman_2015
1920	Eosinophil	IL18R1	Newman_2015
1921	Eosinophil	IL18RAP	Newman_2015
1922	Eosinophil	IL1RL1	Newman_2015
1923	Eosinophil	IL5RA	Newman_2015
1924	Eosinophil	LRMP	Newman_2015
1925	Eosinophil	MAK	Newman_2015
1926	Eosinophil	MGAM	Newman_2015
1927	Eosinophil	MS4A3	Newman_2015
1928	Eosinophil	MXD1	Newman_2015
1929	Eosinophil	NCF2	Newman_2015
1930	Eosinophil	P2RY10	Newman_2015
1931	Eosinophil	P2RY13	Newman_2015
1932	Eosinophil	P2RY14	Newman_2015
1933	Eosinophil	P2RY2	Newman_2015
1934	Eosinophil	PADI4	Newman_2015
1935	Eosinophil	PDE6C	Newman_2015
1936	Eosinophil	PKD2L2	Newman_2015
1937	Eosinophil	PLEKHG3	Newman_2015
1938	Eosinophil	REPS2	Newman_2015
1939	Eosinophil	RGS1	Newman_2015
1940	Eosinophil	RGS13	Newman_2015
1941	Eosinophil	RNASE2	Newman_2015
1942	Eosinophil	RRP12	Newman_2015
1943	Eosinophil	SAMSN1	Newman_2015
1944	Eosinophil	SMPD3	Newman_2015
1945	Eosinophil	SMPDL3B	Newman_2015
1946	Eosinophil	ST3GAL6	Newman_2015
1947	Eosinophil	TREML2	Newman_2015
1948	Eosinophil	TRPM6	Newman_2015
1949	Eosinophil	ZNF222	Newman_2015
3110	Eosinophil	GIPR	Charoentong_2017
3111	Eosinophil	KRT18P50	Charoentong_2017
3112	Eosinophil	LRMP	Charoentong_2017
3113	Eosinophil	FOSB	Charoentong_2017
3114	Eosinophil	RRP12	Charoentong_2017
3115	Eosinophil	GPR183	Charoentong_2017
3116	Eosinophil	NR4A3	Charoentong_2017
3117	Eosinophil	ST3GAL6	Charoentong_2017
3118	Eosinophil	DEPDC5	Charoentong_2017
3119	Eosinophil	PDE6C	Charoentong_2017
3120	Eosinophil	PKD2L2	Charoentong_2017
3121	Eosinophil	GPR65	Charoentong_2017
3122	Eosinophil	IL5RA	Charoentong_2017
3123	Eosinophil	P2RY14	Charoentong_2017
3124	Eosinophil	DACH1	Charoentong_2017
3125	Eosinophil	DAPK2	Charoentong_2017
3126	Eosinophil	EMR3	Charoentong_2017
2925	Fibroblasts	COL1A1	Becht_2016
2926	Fibroblasts	COL3A1	Becht_2016
2927	Fibroblasts	COL6A1	Becht_2016
2928	Fibroblasts	COL6A2	Becht_2016
2929	Fibroblasts	DCN	Becht_2016
2930	Fibroblasts	GREM1	Becht_2016
2931	Fibroblasts	PAMR1	Becht_2016
2932	Fibroblasts	TAGLN	Becht_2016
1249	DC_immature	ATP6V1A	Angelova_2015
1250	DC_immature	C1QB	Angelova_2015
1251	DC_immature	CHST11	Angelova_2015
1252	DC_immature	CSF1	Angelova_2015
1253	DC_immature	DPYD	Angelova_2015
1254	DC_immature	FNDC3B	Angelova_2015
1255	DC_immature	GRP	Angelova_2015
1256	DC_immature	IL1RN	Angelova_2015
1257	DC_immature	INPP5F	Angelova_2015
1258	DC_immature	LPL	Angelova_2015
1259	DC_immature	LPXN	Angelova_2015
1260	DC_immature	MMD	Angelova_2015
1261	DC_immature	PLAU	Angelova_2015
1262	DC_immature	PLCB2	Angelova_2015
1263	DC_immature	RAB38	Angelova_2015
1264	DC_immature	RDX	Angelova_2015
1265	DC_immature	RRAGD	Angelova_2015
1266	DC_immature	TACSTD2	Angelova_2015
1267	DC_immature	TGM2	Angelova_2015
1268	DC_immature	TIMD4	Angelova_2015
1269	DC_immature	TM7SF4	Angelova_2015
1652	DC_immature	ABCG2	Bindea_2013
1653	DC_immature	BLVRB	Bindea_2013
1654	DC_immature	CARD9	Bindea_2013
1655	DC_immature	CD1A	Bindea_2013
1656	DC_immature	CD1B	Bindea_2013
1657	DC_immature	CD1C	Bindea_2013
1658	DC_immature	CD1E	Bindea_2013
1659	DC_immature	CH25H	Bindea_2013
1660	DC_immature	CLEC10A	Bindea_2013
1661	DC_immature	CSF1R	Bindea_2013
1662	DC_immature	CTNS	Bindea_2013
1663	DC_immature	F13A1	Bindea_2013
1664	DC_immature	FABP4	Bindea_2013
1665	DC_immature	FZD2	Bindea_2013
1666	DC_immature	GSTT1	Bindea_2013
1667	DC_immature	GUCA1A	Bindea_2013
1668	DC_immature	HS3ST2	Bindea_2013
1669	DC_immature	LMAN2L	Bindea_2013
1670	DC_immature	MMP12	Bindea_2013
1671	DC_immature	MS4A6A	Bindea_2013
1672	DC_immature	NUDT9	Bindea_2013
1673	DC_immature	PDXK	Bindea_2013
1674	DC_immature	PPARG	Bindea_2013
